,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,350574,2831.1555390358,1080,511,2.1135029354,1.574218282,22.8637653854,74.6291353957,92.1292955641,28.332520288,70.1806844088,84.9624539023,41.6481337861,11.528608147,0.9983096409,0.8152446138,5.7197115492
0,95652.5,1478.4478275776,227,607,0.373970346,1.4405164528,22.851550967,11.3426932699,13.407431814,9.095966807,32.5905821201,35.685166657,29.413017324,18.3765386869,0.9978745718,0.9230892002,2.1530687838
0,220938,2775.2144135237,1080,355,3.0422535211,1.7353284632,34.8596214369,35.7236057722,41.5101012874,24.3875068644,54.6161662441,58.87751647,52.9637819682,26.2213709844,0.9980930462,0.8406962594,4.4991677302
0,294440,2614.1504898071,903,607,1.4876441516,1.8615711181,23.2094239348,42.7132070291,59.4661556532,21.8729376411,53.5602043588,68.9370074329,40.0106048142,16.6858534586,0.9986454986,0.8341152261,5.4114918264
0,478131.5,3281.7169393301,1080,607,1.7792421746,1.3710872427,22.5244855649,51.9885426201,59.4423637806,39.1590868875,43.4864928913,46.0678954581,41.710718534,38.4056776974,0.9973298256,0.7289543637,7.155797525
0,62321.5,1551.3494086266,303,607,0.4991762768,2.9511645259,38.6172506702,12.0906476905,14.7698120691,7.4137607542,39.264721535,45.0892177012,31.1538964496,17.0419882355,0.9959306742,0.9333394378,1.7307789519
0,186926.5,2810.8926905394,1080,577,1.8717504333,3.3337167282,42.2685799912,30.3568491061,36.0215983281,24.2132894014,52.1215615247,58.337257016,48.5609053415,24.5352183098,0.9976759175,0.8563139008,3.7473929868
0,136200,1735.9940706492,403,607,0.6639209226,1.7960425844,22.1268385707,27.2872505949,36.9800750503,23.1770486302,55.614997184,70.9575557242,48.3135753495,9.5000932134,0.9982131883,0.8730997488,3.2813326107
0,175257,2659.6509253979,1080,266,4.0601503759,1.6391927284,40.3621141807,32.1929968271,35.4285404845,27.7203139301,56.5348092925,61.755417165,51.4046192528,18.3033592582,0.9979680369,0.8678446661,3.7186359364
0,280270,2394.4448614121,738,607,1.215815486,1.5983373176,20.4565818473,30.7766184636,45.1395661724,12.4092165477,45.5597350338,60.0376194242,37.9924682699,22.4506944555,0.9985740126,0.8032200485,5.1757851984
0,353,112.970562458,50,12,4.1666666667,1.6997167139,36.1539602892,46.8122307645,54.915446336,40.5970986637,72.9850461024,78.3599603561,73.3182083324,18.5982320796,0.9981856167,0.8553925528,4.6362044949
0,362469,3189.4053221941,1080,513,2.1052631579,1.5285169214,28.0639345964,66.8119073769,84.4796128501,74.475291354,62.8456930286,74.6129073151,67.8155036649,16.4171710894,0.9980778026,0.6846494433,6.8858446779
0,100769,1587.4499181509,334,607,0.550247117,2.0119084242,25.0076634941,16.9983830618,24.1770120203,9.8912044664,41.9777578743,56.1682029746,33.2871243522,11.0111959789,0.9979087526,0.9199037464,2.2549415801
0,137763.5,2500.7219935656,1080,226,4.7787610619,1.77173199,45.3938125055,26.6606778937,29.9939563122,26.4147522729,55.8209512657,59.1918704785,57.3121222605,23.295467143,0.9978060905,0.8758892598,3.5850168118
0,380763,3786.5323016644,1080,607,1.7792421746,1.7217009006,37.6555150357,72.9645860028,109.2923363231,66.2342394289,64.3585502775,90.585665165,60.1023242569,13.5081425337,0.9975382684,0.7324525842,6.459972964
0,270498.5,2707.2316581011,1080,359,3.008356546,1.4333536045,27.0948018219,59.990402099,74.2888126182,56.1053938617,72.9196896746,87.8059933979,72.9027176807,11.060988558,0.9982937965,0.7897181141,5.4511755164
0,148138,1821.9940713644,433,607,0.7133443163,1.7742307848,22.4092562076,25.4304411496,35.1546174263,10.9428381841,50.6243342373,64.8526799057,35.5217456697,8.2190821197,0.9988884198,0.897572586,3.1883078625
0,294440,2614.1504898071,903,607,1.4876441516,1.8615711181,23.2094239348,42.7132070291,59.4661556532,21.8729376411,53.5602043588,68.9370074329,40.0106048142,16.6858534586,0.9986454986,0.8341152261,5.4114918264
0,144143,1659.7442911863,333,607,0.5485996705,1.4022949432,19.1112375358,31.4690356337,42.8175697114,8.1294938678,59.4311825367,78.90562808,31.8376380177,6.2261147918,0.9984278047,0.9022454196,2.8854168157
0,132864,1641.8275516033,323,607,0.5321252059,1.4756517943,20.2883979799,14.888516688,20.8818491061,8.4715678199,34.5617832209,43.533351891,30.1467609902,20.1617090407,0.9980749122,0.9064388935,2.631524114
0,494765,2961.121049881,1080,607,1.7792421746,1.3249926733,17.7220253495,81.593114284,108.1165034474,55.3240450912,50.45828779,63.9175651612,43.0332196074,13.2121846406,0.998125473,0.7434461768,7.0169502791
0,137763.5,2500.7219935656,1080,226,4.7787610619,1.77173199,45.3938125055,26.6606778937,29.9939563122,26.4147522729,55.8209512657,59.1918704785,57.3121222605,23.295467143,0.9978060905,0.8758892598,3.5850168118
